,ServicingLenderName,Symbol
920,Savings Bank of Walpole,0
921,Legacy National Bank,0
922,TrailWest Bank,0
923,Ciera Bank,0
924,Hometown National Bank,0
925,The Vinton County National Bank,0
926,First Liberty Bank,0
927,Austin County State Bank,0
928,"Spencer Savings Bank, SLA",SRRTF
929,FNBC Bank and Trust,0
930,"Yosemite Farm Credit, Aca",ACA
931,Lake Elmo Bank,0
932,North Valley Bank,0
933,VisionBank of Iowa,0
934,Dundee Bank,0
935,HomeTown Bank,0
936,Reliance Savings Bank d/b/a Reliance Bank,0
937,American Heritage National Bank,0
938,Bank of Ocean City,0
939,Security First Bank,0
940,5Star Bank,0
941,Sound CU,0
942,Charter Bank,0
943,The First Bank of Greenwich,0
944,Three Rivers FCU,0
945,HNB National Bank,0
946,Community Bank of Pickens County,0
947,Newport News Shipbuilding Empl CU Inc d/b/a BayPort CU,0
948,The First National Bank of Bemidji,0
949,Sturgis Bank & Trust Company,0
950,UniBank,BDOUY
951,American Bank of Missouri,0
952,"First Hope Bank, A National Banking Association",0
953,The Farmers & Merchants Bank,0
954,Mechanics & Farmers Bank,0
955,American Community Bank,0
956,The Juniata Valley Bank,0
957,New Millennium Bank,0
958,Community Commerce Bank,0
959,Pentucket Bank,0
960,Virginia Partners Bank,0
961,Gesa CU,0
962,CoBank ACB,CKNQP
963,Institution for Savings In Newburyport and its Vicinity,0
964,Hickory Point Bank and Trust,0
965,First Columbia Bank & Trust Co,0
966,Calvin B. Taylor Banking Company,0
967,Citizens Independent Bank,0
968,Rollstone Bank & Trust,0
969,The City National Bank of Sulphur Springs,0
970,"First Westroads Bank, Inc",INC
971,Monticello Banking Company,0
972,Banterra Bank,0
973,BLC Community Bank,0
974,"Lone Star Capital Bank, National Association",ZION
975,Peoples Bank & Trust,0
976,Decorah Bank & Trust Company,0
977,Elkhorn Valley Bank & Trust,0
978,Anstaff Bank,0
979,CenterBank,0
980,First National Bank and Trust Company,0
981,Lakeview Bank,0
982,"T Bank, National Association",BNS.TO
983,Union State Bank,0
984,Mercer County State Bank,0
985,Equitable Bank,0
986,Farmers and Merchants Bank,0
987,CBI Bank & Trust,0
988,Bank of Botetourt,BORT
989,Hope Enterprise Corporation,0
990,Western Heritage Bank,0
991,Range Bank,0
992,First Northern Bank of Wyoming,0
993,Edison National Bank,0
994,"First State Bank of St. Charles, Missouri",SMBC
995,Silver Lake Bank,0
996,First Keystone Community Bank,0
997,Peach State Bank and Trust,0
998,Sage Capital Bank,0
999,"City First Bank, National Association",ZION
1000,The Evangeline Bank & Trust Company,0
1001,GECU,0
1002,Merchants and Manufacturers Bank,0
1003,Sauk Valley Bank & Trust Company,0
1004,The First National Bank of McGregor d/b/a TFNB Your Bank for Life,0
1005,Tandem Bank,0
1006,The Harbor Bank of Maryland,0
1007,Primesouth Bank,0
1008,Saco & Biddeford Savings Institution,0
1009,Community Savings Bank,0
1010,First National Bank & Trust Co,0
1011,Ballston Spa National Bank,0
1012,"New Peoples Bank, Inc.",NWPP
1013,Century Bank of Georgia,0
1014,The MINT National Bank,0
1015,Dayspring Bank,0
1016,Carter FCU,0
1017,Florida CU,0
1018,Lee Bank,0
1019,Space Coast CU,0
1020,Honor CU,0
1021,FMS Bank,0
1022,First Harrison Bank,0
1023,DR Bank,0
1024,First Bank Chicago,0
1025,Royal Business Bank,0
1026,Benchmark Community Bank,0
1027,Capitol Bank,0
1028,VCC Bank,0
1029,Woodlands Bank,0
1030,Texas Dow Empl CU,0
1031,Wayne Savings Community Bank,0
1032,Mid America Bank,0
1033,First Chatham Bank,0
1034,"American Bank & Trust Company, Inc.",TSLA
1035,First Seacoast Bank,0
1036,United Mississippi Bank,0
1037,Optus Bank,0
1038,Farmers Bank,FBPA
1039,Oregon Coast Bank,0
1040,RiverWood Bank,0
1041,Haverhill Bank,0
1042,Ridgewood Savings Bank,0
1043,FCB Banks,0
1044,Bay State Savings Bank,0
1045,Robins Financial CU,0
1046,Town Center Bank,TCNB
1047,Bank of the Flint Hills,0
1048,Citizens Bank Minnesota,0
1049,Community First Bank of the Heartland,0
1050,Wauchula State Bank,0
1051,Economic and Community Development Institute,0
1052,First Eagle Bank,0
1053,Bank of Luxemburg,0
1054,"Midstates Bank, National Association",ZION
1055,Bank of Zachary,0
1056,Spokane Teachers CU,0
1057,Falcon International Bank,0
1058,"First Bankers Trust Company, National Association",ZION
1059,Royal Bank,RY.TO
1060,Citizens Bank & Trust Co,0
1061,Town & Country Bank,0
1062,Security State Bank,0
1063,Coastal Carolina National Bank,0
1064,"Western Bank, Artesia, New Mexico",CWB.TO
1065,Bank of Commerce,CM.TO
1066,Jackson County Bank,0
1067,Bank of Sun Prairie,0
1068,The First National Bank of Carmi,0
1069,Coulee Bank,0
1070,The Converse County Bank,0
1071,BNA Bank,0
1072,Redstone FCU,0
1073,"WaterStone Bank, SSB",SSB
1074,County Bank,SCZC
1075,Southwest National Bank,0
1076,East Cambridge Savings Bank,0
1077,The Citizens Bank of Georgia,0
1078,Touchstone Bank,TSBA
1079,Time Bank,0
1080,West Gate Bank,0
1081,Independence Bank,0
1082,Ohnward Bank & Trust,0
1083,Pilot Grove Savings Bank,0
1084,Huron Valley State Bank,0
1085,Kirkpatrick Bank,0
1086,Monson Savings Bank,0
1087,Community Resource Bank,0
1088,Truliant FCU,0
1089,Credit Union One,0
1090,Central State Bank,0
1091,MidSouth Bank,0
1092,KEMBA Financial CU,0
1093,Glenwood State Bank Incorporated,0
1094,Valley Bank of Nevada,0
1095,New Carlisle Federal Savings Bank,0
1096,The First National Bank of Elmer,0
1097,Mi Bank,1988.HK
1098,Champlain National Bank,0
1099,BTC Bank,HKB-USD
1100,F & M Bank,FMBL
1101,First National Bank in New Bremen,0
1102,Grove Bank & Trust,0
1103,Fourth Capital Bank,0
1104,Bank of Charles Town,0
1105,"Texas Republic Bank, National Association",ZION
1106,Tri-County Bank,0
1107,Liberty Bank and Trust Company,0
1108,"National Cooperative Bank, National Association",ZION
1109,American Federal Bank,0
1110,"Profinium, Inc.",TSLA
1111,Abington Bank,0
1112,Connection Bank,0
1113,Winter Park National Bank,0
1114,Prairie State Bank and Trust,0
1115,OMB Bank,0
1116,Inland Bank and Trust,0
1117,AgChoice ACA,0
1118,"Heritage Bank, National Association",ZION
1119,"Texas Advantage Community Bank, National Association",ZION
1120,KeyPoint CU,0
1121,Clinton Savings Bank,0
1122,Seamen's Bank,0
1123,Trustar Bank,0
1124,First National Bank of Waterloo,0
1125,North Shore Bank of Commerce,0
1126,Ennis State Bank,0
1127,Security Service FCU,0
1128,Greater Nevada CU,0
1129,WoodTrust Bank,0
1130,Community Bank Mankato,0
1131,First Central State Bank,0
1132,The Bank of Bennington,0
1133,Portage Community Bank,0
1134,Black Hills FCU,0
1135,First National Community Bank,0
1136,Iroquois Federal Savings & Loan Association,0
1137,Peoples Savings Bank of Rhineland,0
1138,AbbyBank,0
1139,The Northwestern Bank,0
1140,First National Bank Colorado,0
1141,The Bank of Old Monroe,0
1142,GNB Bank,0
1143,CB&S Bank,0
1144,NSB Bank,0
1145,Valley Strong CU,0
1146,Bankwell Bank,0
1147,Osgood Bank,0
1148,"First Montana Bank, Inc.",TSLA
1149,Sentry Bank,0
1150,Business Development Corporation of South Carolina,0
1151,Teachers CU,0
1152,Shinhan Bank America,0
1153,Ambler Savings Bank,0
1154,Round Top State Bank,0
1155,Washington Financial Bank,0
1156,"LiftFund, Inc.",TSLA
1157,First State Bank & Trust,0
1158,Bank of Prairie du Sac,0
1159,First Sound Bank,FSWA
1160,Indiana Members CU,0
1161,Dupaco Community CU,0
1162,United Community Bank of North Dakota,0
1163,Community Bank of the South,0
1164,ELGA CU,0
1165,First IC Bank,0
1166,"Fresno Madera Farm Credit, ACA",ACA
1167,Peoples Bank of East Tennessee,0
1168,Kearny Bank,0
1169,Five Points Bank of Hastings,0
1170,Field & Main Bank,0
1171,Huron Community Bank,0
1172,"Farmers State Bank of Alto Pass, Illinois",ITW
1173,Touchmark National Bank,0
1174,Nutmeg State Financial Credit Union,0
1175,PriorityOne Bank,0
1176,Oakwood Bank,0
1177,"First Century Bank, National Association",ZION
1178,Bank of Utica,BKUTK
1179,BankOrion,0
1180,Citizens State Bank of La Crosse,0
1181,Frontier Bank of Texas,0
1182,"Farm Credit Services of Eastern Missouri, PCA",4M0.F
1183,"PyraMax Bank, FSB",9377.KL
1184,"AgCountry Farm Credit Service, PCA",4M0.F
1185,Reliabank Dakota,0
1186,Heartland National Bank,0
1187,Texas Heritage Bank,0
1188,Vermont 504 Corporation,0
1189,AVB Bank,0
1190,Hiawatha National Bank,0
1191,Bank of Franklin County,0
1192,First Bank and Trust Co,0
1193,Dream First Bank National Association,0
1194,Citizens Bank and Trust Company,0
1195,United Security Bank,0
1196,Citizens National Bank of Cheboygan,0
1197,Robertson Banking Company,0
1198,Gulfside Bank,0
1199,Legence Bank,0
1200,The Stephenson National Bank and Trust,0
1201,Montana Community Development Corp.,0
1202,Grand Ridge National Bank,0
1203,Bloomsdale Bank,0
1204,The Community Bank,0
1205,River Bank,0
1206,"First Neighbor Bank, National Association",ZION
1207,Texas National Bank of Jacksonville,0
1208,Pony Express Bank,0
1209,The Milford Bank,0
1210,"Black Hills Community Bank, National Association",ZION
1211,PS Bank,PSUBNKBEES.NS
1212,"United Fidelity Bank, FSB",9377.KL
1213,Southwest Capital Bank,0
1214,"KS Bank, Inc.",TSLA
1215,Northeast Georgia Bank,0
1216,Great Oaks Bank,0
1217,Forest Park National Bank and Trust Company,0
1218,Kingston National Bank,0
1219,FM Bank,0
1220,First Independent Bank,0
1221,National Bank of Middlebury,0
1222,Andover State Bank,0
1223,BankFirst,BFCC
1224,PeopleFund,0
1225,Republic Bank of Arizona,0
1226,The Killbuck Savings Bank Co.,0
1227,Harleysville Bank,0
1228,Community Bank of Elmhurst,0
1229,CommunityAmerica CU,0
1230,Woori America Bank,0
1231,First National Bank North,0
1232,New Market Bank,0
1233,The First National Bank of Hughes Springs,0
1234,Sunstate Bank,0
1235,Gibsland Bank & Trust Company,0
1236,FNBC Bank,0
1237,Oak View National Bank,0
1238,Bank 34,0
1239,Tennessee State Bank,0
1240,Home Loan State Bank,0
1241,Peoples Savings Bank,0
1242,Century Next Bank,0
1243,Premier Bank of the South,0
1244,American Heritage FCU,0
1245,Regal Bank,0
1246,Woodsboro Bank,WOBK
1247,State Bank of De Kalb,0
1248,SAFE CU,0
1249,Reliance Bank,0
1250,First National Bank in DeRidder,0
1251,CIBM Bank,0
1252,Drake Bank,0
1253,"Albany Bank and Trust Company, National Association",ZION
1254,Century Bank and Trust,0
1255,Willamette Valley Bank,0
1256,"First Commercial Bank, National Association",ZION
1257,Sunmark Community Bank,0
1258,Bank Michigan,0
1259,Mega Bank,0
1260,Ledyard National Bank,0
1261,Arthur State Bank,0
1262,Community Financial Services Bank,0
1263,Southeastern Bank,SEBC
1264,RiverBank,RBNK
1265,Unison Bank,0
1266,First Internet Bank of Indiana,0
1267,Millennium Bank,0
1268,Fortis Private Bank,0
1269,Sterling Bank,0
1270,Grow Financial FCU,0
1271,Minnesota Lakes Bank,0
1272,SRI FCU,0
1273,The First National Bank Bellevue,0
1274,Dairy State Bank,0
1275,Washington County Bank,0
1276,Washington Savings Bank,0
1277,The Bank of Kremlin,0
1278,Bank of New England,0
1279,Green Belt Bank & Trust,0
1280,Susquehanna Community Bank,0
1281,Grand Savings Bank,0
1282,Sandhills State Bank,0
1283,The Citizens Bank of Edmond,0
1284,AB&T,ABEO
1285,Generations Bank,0
1286,HomeBank Texas,0
1287,Franklin Savings Bank,0
1288,Coastal1 Credit Union,0
1289,"Hometown Bank of Corbin, Inc. d/b/a Hometown Bank",0
1290,SouthEast Bank,SEBC
1291,Centinel Bank of Taos,0
1292,"WNB Financial, National Association",ZION
1293,The Enterprise Center Capital Corporation,0
1294,Kensington Bank,0
1295,First State Bank of Texas,0
1296,Patriot Bank,PN21.F
1297,Apple River State Bank,0
1298,The National Bank of Andrews,0
1299,The Callaway Bank,0
1300,Idaho Trust Bank,0
1301,Rockland FCU,0
1302,Nebraska Bank,0
1303,Infinity Bank,0
1304,SouthernTrust Bank,0
1305,River City FCU,0
1306,Flint Community Bank,0
1307,The Hardin County Bank,0
1308,BankGloucester,0
1309,Monterey County Bank,0
1310,"The Poca Valley Bank, Inc.",TSLA
1311,Delta Community CU,0
1312,Adams Community Bank,0
1313,Gold Coast Bank,0
1314,Citizens Bank of Kansas,0
1315,PeoplesSouth Bank,0
1316,Springs Valley Bank & Trust Company,0
1317,Edmonton State Bank,0
1318,SSB Bank,0
1319,Texas Heritage National Bank,0
1320,Bank of Western Oklahoma,0
1321,Farmers Trust & Savings Bank,0
1322,Three Rivers Bank of Montana,0
1323,Gateway Commercial Bank,0
1324,"Pendleton Community Bank, Inc.",TSLA
1325,Phelps County Bank,0
1326,FNB South,0
1327,Carter Bank & Trust,0
1328,"First Pioneer Farm Credit,  ACA",ACA
1329,Wasatch Peaks FCU,0
1330,First Arkansas Bank and Trust,0
1331,TriStar Bank,0
1332,Foundation One Bank,0
1333,"KEB Hana Bank USA, National Association",ZION
1334,Magnolia State Bank,0
1335,Verity CU,0
1336,Financial Resources FCU,0
1337,Citizens Equity First CU,0
1338,First Minnetonka City Bank,0
1339,Town and Country CU,0
1340,Coast Central CU,0
1341,The City National Bank of Metropolis,0
1342,Great Plains State Bank,0
1343,Sundown State Bank,0
1344,The Plains State Bank,0
1345,Farmers Savings Bank,0
1346,The Greenwood's State Bank,0
1347,"CenTrust Bank, National Association",ZION
1348,Bruning Bank,0
1349,TruFund Financial Services Inc,0
1350,Primebank,0
1351,The Cottonport Bank,0
1352,University First FCU,0
1353,New Haven Bank,0
1354,Peoples Independent Bank,0
1355,Bank Star,0
1356,Chippewa Valley Bank,0
1357,BOC Bank,0
1358,First State Bank and Trust,0
1359,American Community Bank of Indiana,0
1360,The Bippus State Bank,0
1361,PromiseOne Bank,0
1362,Baraboo State Bank,0
1363,CoVantage CU,0
1364,First Farmers & Merchants National Bank,0
1365,First Bank of Manhattan,0
1366,ProGrowth Bank,0
1367,Andrew Johnson Bank,0
1368,The Citizens State Bank of Ouray,0
1369,The First National Bank in Creston,0
1370,Addition Financial CU,0
1371,Veridian CU,0
1372,First National Bank of Griffin,0
1373,Greenfield Co-Operative Bank,0
1374,Lumbee Guaranty Bank,LUMB
1375,Central Savings Bank,0
1376,Sunrise Bank,0
1377,First Bank Kansas,0
1378,First Farmers & Merchants Bank,0
1379,"Farm Credit of Central Florida, ACA",ACA
1380,Schertz Bank & Trust,0
1381,Passumpsic Savings Bank,0
1382,The Bank of Marion,0
1383,Kaw Valley Bank,0
1384,Stearns Bank National Association,0
1385,Stillman BancCorp N.A.,0
1386,Empower FCU,0
1387,Fortress Bank,0
1388,Financial Security Bank,0
1389,"Valley Economic Development Partners, Inc.",TSLA
1390,Haven Savings Bank,0
1391,The Valley State Bank,0
1392,"Fayette Savings Bank, ssb",SSB
1393,TwinStar Credit Union,0
1394,The Peoples Bank & Trust Company of Pointe Coupee Parish,0
1395,The First National Bank of Livingston,0
1396,United Roosevelt Savings Bank,0
1397,InFirst Bank,0
1398,Peoples Community Bank,0
1399,The Commercial Bank,CBQK.QA
1400,Great Plains Bank,0
1401,Merchants Commercial Bank,0
1402,Bank of the Valley,0
1403,Integrity Bank & Trust,0
1404,BOC Capital Corportion,0
1405,First National Bank USA,0
1406,Potlatch No. 1 Financial Credit Union,0
1407,Community First Guam FCU,0
1408,"Beacon Business Bank, National Association",ZION
1409,Watermark Bank,0
1410,Walpole Co-Operative Bank,0
1411,The Queenstown Bank of Maryland,0
1412,Mifflinburg Bank & Trust Co,0
1413,First State Bank Southwest,0
1414,Bank Northwest,0
1415,Oregon State CU,0
1416,The Citizens National Bank of Park Rapids,0
1417,Unity National Bank of Houston,0
1418,NewBank,0
1419,Douglas National Bank,0
1420,The Bank,BNS.TO
1421,Texas State Bank,0
1422,Manufacturers Bank & Trust Company,0
1423,Exchange Bank and Trust,0
1424,Branson Bank,0
1425,Providence Bank,0
1426,The North Salem State Bank,0
1427,Harborstone CU,0
1428,Amalgamated Bank,0
1429,State Bank of Southwest Missouri,0
1430,Valley First CU,0
1431,Pike National Bank,0
1432,Tioga-Franklin Savings Bank,0
1433,"New Omni Bank, National Association",ZION
1434,The Brattleboro Savings & Loan Association,0
1435,Altra FCU,0
1436,The Citizens National Bank of Somerset,0
1437,Lake Shore Savings Bank,0
1438,Sabine State Bank & Trust Company,0
1439,State Savings Bank,0
1440,Haddon Savings Bank,0
1441,Community First National Bank,0
1442,St. Mary's CU,0
1443,The Millyard Bank,0
1444,First Security Bank & Trust Company,0
1445,Prevail Bank,0
1446,Greenville National Bank,0
1447,VISIONBank,0
1448,RiverHills Bank,0
1449,"Canyon Community Bank, National Association",ZION
1450,South Georgia Banking Company,0
1451,Charlevoix State Bank,0
1452,The First National Bank of Jeanerette,0
1453,"The Peoples State Bank of Newton, Illinois",ITW
1454,First National Bank Minnesota,0
1455,OneLocal Bank,0
1456,DeMotte State Bank,0
1457,Freedom Bank,0
1458,First Port City Bank,0
1459,Freedom Financial Bank,0
1460,Focus Bank,0
1461,Central Bank & Trust,0
1462,Union Bank & Trust Company,0
1463,Seneca Savings,0
1464,Florence Bank,0
1465,Capital Educators FCU,0
1466,CLB The Community Bank,0
1467,Signature Bank of Arkansas,0
1468,Freedom First FCU,0
1469,Westby Co-op CU,0
1470,Skowhegan Savings Bank,0
1471,FirsTier Bank,0
1472,Sullivan Bank,0
1473,The Shelby State Bank,0
1474,Woodsville Guaranty Savings Bank,0
1475,Belgrade State Bank,0
1476,Rogue CU,0
1477,RSNB Bank,0
1478,MNB Bank,0
1479,StonehamBank,0
1480,"FNB Bank, Inc.",TSLA
1481,Farmers Bank and Trust Company,0
1482,First Commerce CU,0
1483,Esquire Bank National Association,0
1484,Essex Savings Bank,0
1485,Centra CU,0
1486,Buckeye Community Bank,0
1487,United Bank of Union,0
1488,Community Bank of Raymore,0
1489,Marion & Polk Schools CU,0
1490,New England FCU,0
1491,South Ottumwa Savings Bank,0
1492,BankTennessee,0
1493,Northeast Security Bank,0
1494,Evergreen National Bank,0
1495,Chickasaw Community Bank,0
1496,The Eastern Colorado Bank,0
1497,Pilgrim Bank,0
1498,The Shelby County State Bank,0
1499,First Heritage Bank,0
1500,MRV Banks,0
1501,The Pecos County State Bank,0
1502,Luminate Bank,0
1503,Educators CU,0
1504,First State Bank of Uvalde,0
1505,"Citizens Bank of West Virginia, Inc",INC
1506,Cape Ann Savings Bank,0
1507,Evergreen Bank Group,0
1508,The Murray Bank,0
1509,1st Advantage Bank,0
1510,The Peoples Bank Co,0
1511,"Bank of Bridger, National Association",ZION
1512,Travis CU,0
1513,PremierBank,0
1514,First Trust Bank of Illinois,0
1515,Advia Credit Union,0
1516,"FCN Bank, National Association",ZION
1517,Vantage West CU,0
1518,Citizens Bank of Americus,0
1519,Mountain View Bank of Commerce,0
1520,Bankers' Bank of Kansas,0
1521,Peoples Trust Company of St. Albans,0
1522,RVR Bank,0
1523,FNB Oxford Bank,0
1524,"The Bank & Trust, SSB",SSB
1525,CUSB Bank,0
1526,Cyprus FCU,0
1527,Delta Bank,0
1528,Farmers-Merchants Bank & Trust Company,0
1529,Rocky Mountain Bank,0
1530,"California International Bank, A National Banking Association",CAIB
1531,ESB Financial,0
1532,First Peoples Bank,0
1533,First National Bank of South Carolina,0
1534,"Superior CU, Inc.",TSLA
1535,Lake-Osceola State Bank,0
1536,First Sentinel Bank,0
1537,Crest Savings Bank,0
1538,US Eagle FCU,0
1539,Farmers and Merchants State Bank of Pierz,0
1540,Peoples Exchange Bank,0
1541,Peoples Bank & Trust Co.,0
1542,People Trust,0
1543,Community State Bank of Missouri,0
1544,Center National Bank,0
1545,Homeland Federal Savings Bank,0
1546,The First National Bank of Sonora,0
1547,bankcda,0
1548,Canvas CU,0
1549,Embold Federal Credit Union,0
1550,LincolnWay Community Bank,0
1551,USF Federal Credit Union,0
1552,Greenwood CU,0
1553,The First National Bank of Bastrop,0
1554,Ozona Bank,0
1555,Meritrust Federal Credit Union,0
1556,Evolve Bank and Trust,0
1557,CCB Community Bank,0
1558,"Bank of DeSoto, National Association",ZION
1559,Astra Bank,0
1560,Arcadian Bank,0
1561,EECU,0
1562,"First Robinson Savings Bank, National Association",ZION
1563,Home Federal Savings & Loan Association of Grand Island,0
1564,Liberty Federal Credit Union,0
1565,The Peoples Community Bank,0
1566,First American National Bank,0
1567,Forum CU,0
1568,"First State Bank and Trust Company, Inc.",TSLA
1569,Freedom Bank of Southern Missouri,0
1570,The Bank of Houston,0
1571,Bank of St. Francisville,0
1572,Apex Bank,0
1573,MapleMark Bank,0
1574,The Ohio Valley Bank Company,0
1575,First Security Bank of Nevada,0
1576,"Bank of Hillsboro, National Association",ZION
1577,WESTconsin CU,0
1578,CBW Bank,0
1579,Dieterich Bank,0
1580,First National Bank of Huntsville,0
1581,Patterson State Bank,0
1582,The Cooperative Bank,0
1583,TNBANK,0
1584,Peoples Bank of Kankakee County,0
1585,KCB Bank,0
1586,The Citizens Bank Company,0
1587,North Star Bank,0
1588,"First & Farmers National Bank, Inc.",TSLA
1589,Merit Bank,0
1590,Jones Bank,^DJTBAKT
1591,Partners Bank of New England,0
1592,Ultima Bank Minnesota,0
1593,Powell Valley National Bank,0
1594,Diamond Bank,0
1595,Community CU of Florida,0
1596,First Service Bank,0
1597,The Clinton National Bank,0
1598,New Tripoli Bank,0
1599,Merchants & Marine Bank,0
1600,Forte Bank,0
1601,Studio Bank,STBK
1602,West Valley National Bank,0
1603,First National Bank & Trust Company of McAlester,0
1604,The First National Bank of Mount Dora,0
1605,High Country Bank,0
1606,Grand Rapids State Bank,0
1607,Columbus Bank and Trust Company,0
1608,The First National Bank of Ballinger,0
1609,"TXN Bank, National Association",ZION
1610,Triangle CU,0
1611,State Bank of Chilton,0
1612,Waukon State Bank,0
1613,Prime Security Bank,0
1614,Alliance Bank & Trust Company,0
1615,The Missouri Bank,0
1616,Pineland Bank,0
1617,Crossroads Bank,0
1618,Southern Independent Bank,0
1619,First Vision Bank of Tennessee,0
1620,Oostburg State Bank,0
1621,Eastern Connecticut Savings Bank,0
1622,Prospect Bank,0
1623,Great American Bank,0
1624,Redstone Bank,0
1625,"Eastern Savings Bank, FSB",9377.KL
1626,Simply Bank,0
1627,Jonestown Bank and Trust Company,0
1628,Lake Trust CU,0
1629,First Federal Bank of Wisconsin,0
1630,The Bank of Kaukauna,0
1631,Stone Bank,0
1632,Elderton State Bank,0
1633,Opportunity Fund Community Development,0
1634,American First National Bank,0
1635,Main Street Bank Corp.,0
1636,West Community CU,0
1637,Wayne County Bank,0
1638,Metro Bank,MCB
1639,"1st Trust Bank, Inc.",TSLA
1640,Mississippi River Bank,0
1641,De Witt Bank & Trust Co.,0
1642,"United Midwest Savings Bank, National Association",ZION
1643,Homestead Bank,0
1644,Riverland Bank,0
1645,Dean Co-Operative Bank,0
1646,Farmers & Merchants Union Bank,0
1647,Sherburne State Bank,0
1648,Credit Human FCU,0
1649,Column National Association,0
1650,The National Bank of Malvern,0
1651,Byron Bank,0
1652,Members Cooperative CU,0
1653,"Mountain Bizcapital, Inc.",TSLA
1654,Cross Bank,CFB
1655,Bank of the Southwest,0
1656,Torrington Savings Bank,0
1657,Alliant Bank,0
1658,St. Johns Bank and Trust Company,0
1659,The State Bank of Faribault,0
1660,i3 Bank,0
1661,The Cleveland State Bank,0
1662,First National Bank of Burleson,0
1663,HNB First Bank,0
1664,The Bank of Glen Burnie,0
1665,The Peshtigo National Bank,0
1666,Bank of Madison,0
1667,The Napoleon State Bank,0
1668,"SoFi Bank, National Association",ZION
1669,Logan Bank & Trust Company,0
1670,The Bank of Tescott,0
1671,State Bank of Graymont,0
1672,Bank & Trust Company,0
1673,Town & Country Bank and Trust Company,0
1674,Houghton State Bank,0
1675,Security Federal Savings Bank,0
1676,Grinnell State Bank,0
1677,Washington State Bank,0
1678,Bank of Cleveland,0
1679,Mars Bank,0
1680,Bank of Yazoo City,0
1681,The First National Bank of Absecon,0
1682,The FNB Community Bank,0
1683,First Federal Bank & Trust,0
1684,Merchants & Farmers Bank & Trust Company,0
1685,Purdue FCU,0
1686,First Northeast Bank of Nebraska,0
1687,The Pittsfield Co-Operative Bank,0
1688,Grundy Bank,0
1689,Columbia Community CU,0
1690,The Gunnison Bank and Trust Company,0
1691,Friend Bank,0
1692,The First National Bank of Dennison,0
1693,First National Bank and Trust,0
1694,American Bank and Trust Company,0
1695,Heritage Family FCU,0
1696,BlueHarbor Bank,BLHK
1697,Star Bank,5863.TWO
1698,The First National Bank at Paris,0
1699,Security State Bank of Hibbing,0
1700,Dakota Western Bank,0
1701,The Muncy Bank and Trust Company,0
1702,Asian Bank,0
1703,Security Bank USA,0
1704,"Incommons Bank, National Association",ZION
1705,CharterWest Bank,0
1706,DuPont Community CU,0
1707,OptimumBank,OPHC
1708,Alden State Bank,0
1709,United National Bank,UNBK
1710,Financial Federal Bank,0
1711,NVE Bank,0
1712,MCBank,0
1713,Langley FCU,0
1714,Allied First Bank,0
1715,Commercial Savings Bank,5876.TW
1716,Raccoon Valley Bank,0
1717,"First Federal Community Bank, SSB",SSB
1718,The Bradford National Bank of Greenville,0
1719,American National Bank of Minnesota,0
1720,Co-op CU of Montevideo,0
1721,Devon Bank,0
1722,The Exchange Bank,0
1723,"CNB Bank, Inc.",CNBN
1724,EH National Bank,0
1725,BANKWEST,0
1726,"Durden Banking Co., Inc.",TSLA
1727,West Plains Bank and Trust Company,0
1728,IH Mississippi Valley Credit Union,0
1729,Marquette Bank,0
1730,Guardians CU,0
1731,The Geo. D. Warthen Bank,0
1732,First Iowa State Bank,0
1733,Northwest Bank & Trust Company,0
1734,Brannen Bank,0
1735,Armor Bank,0
1736,The First National Bank in Carlyle,0
1737,The Riddell National Bank,0
1738,Sandia Laboratory FCU,0
1739,Fidelity State Bank and Trust Company,0
1740,The Savings Bank,0
1741,The Peoples State Bank,0
1742,The Security National Bank of Enid,0
1743,The Denison State Bank,0
1744,The Stock Exchange Bank,0
1745,Farmers Bank of Northern Missouri,0
1746,Intracoastal Bank,0
1747,HOMEBANK,0
1748,"AgCarolina Farm Credit, ACA",ACA
1749,ONB Bank,0
1750,CedarStone Bank,0
1751,NorthSide Community Bank,0
1752,Stockmens Bank,0
1753,Mid Oregon FCU,0
1754,Rally Credit Union,0
1755,Centera Bank,0
1756,Alliance CU,0
1757,First Western Bank,0
1758,SENB Bank,0
1759,Captex Bank,0
1760,"F & M Community Bank, National Association",ZION
1761,Alva State Bank & Trust Company,0
1762,FNNB Bank,0
1763,Farmers National Bank,0
1764,"Classic Bank, National Association",ZION
1765,First Choice Bank,0
1766,Southern Heritage Bank,0
1767,UNIFY Financial Federal Credit Union,0
1768,Barksdale FCU,0
1769,The Bank of New Glarus,0
1770,BankNorth,0
1771,INSOUTH Bank,0
1772,LCA Bank Corporation,0
1773,First National Bank of Tennessee,0
1774,The National Iron Bank,0
1775,First New Mexico Bank,0
1776,Malaga Bank FSB,0
1777,The Malvern National Bank,0
1778,Citizens Bank & Trust Co.,0
1779,Tinker FCU,0
1780,Anchor Bank,0
1781,Service FCU,0
1782,The First National Bank of Milaca,0
1783,Park View FCU,0
1784,Home State Bank,0
1785,First Option Bank,0
1786,Washington Business Bank,WBZB
1787,First Citizens FCU,0
1788,Visions FCU,0
1789,Claremont Savings Bank,0
1790,Farm Credit Services of Mandan,0
1791,TruBank,0
1792,TC Federal Bank,0
1793,The First National Bank and Trust Company of Broken Arrow,0
1794,Citizens Bank of Ada,0
1795,The First National Bank of Pandora,0
1796,Cayuga Lake National Bank,0
1797,Community Bank Delaware,0
